ID,Field_10_0_2_45779_000,Field_10_0_2_45779_001,Field_10_0_2_45779_002,Field_10_0_2_45779_003,Field_10_0_2_45779_004
1023,SFX - Bestiary - Midnight - 12.0 - Rare Creatures - Z2 - Simple 13 - Depthborn Eelamental - Shrieking Eel,Shrieking Eel,197,1021,1
1024,SFX - Bestiary - Midnight - 12.0 - Rare Creatures - Z2 - Simple 13 - Depthborn Eelamental - Full of Electric Eels (State Loop),Full of Electric Eels (State Loop),197,1021,1
1025,"SFX - Bestiary - Midnight - 12.0 - Rare Creatures - Z2 - Simple 7 - Spinefrill, The Deadliest Catch","Simple 7 - Spinefrill, The Deadliest Catch",197,987,1
1026,"SFX - Bestiary - Midnight - 12.0 - Rare Creatures - Z2 - Simple 7 - Spinefrill, The Deadliest Catch - Expel Poison",Expel Poison,197,1025,1
1027,"SFX - Bestiary - Midnight - 12.0 - Rare Creatures - Z2 - Simple 7 - Spinefrill, The Deadliest Catch - Poison Spines",Poison Spines,197,1025,1
1028,SFX - Toy - 12.0,12.0,197,62,1
1029,SFX - Toy - 12.0 - Nahuut's Second-Favorite Chew Toy,Nahuut's Second-Favorite Chew Toy,197,1028,0.70794576
1030,SFX - Toy - 12.0 - Pango Plating,Pango Plating,197,1028,0.8912509
1031,SFX - Bestiary - Midnight - 12.0.1 - Swamp Leech,Swamp Leech,197,948,1
1032,SFX - Bestiary - Midnight - 12.0.1 - Swamp Leech - Medium,Medium,197,1031,0.63095737
1033,SFX - Toy - 12.0 - Lil' Scoot's Pillow,Lil' Scoot's Pillow,197,1028,1
1034,SFX - Toy - 12.0 - Coffer Key Glue,Coffer Key Glue,197,1028,0.7943282
1035,SFX - Bestiary - Midnight - 12.0 - Rare Creatures - Z4,Z4,197,986,1
1036,SFX - Bestiary - Midnight - 12.0 - Rare Creatures - Z4 - Simple 07 - Lotus Darkblossom,Simple 07 - Lotus Darkblossom,197,1035,1
1037,SFX - Bestiary - Midnight - 12.0 - Rare Creatures - Z4 - Simple 07 - Lotus Darkblossom - Corpreal Cascade,Corpreal Cascade,197,1036,1
1038,SFX - Bestiary - Midnight - 12.0 - Rare Creatures - Z4 - Simple 07 - Lotus Darkblossom - Cosmic Grasp,Cosmic Grasp,197,1036,1
1039,SFX - Bestiary - Midnight - 12.0 - Rare Creatures - Z4 - Simple 07 - Lotus Darkblossom - Inner Quietus,Inner Quietus,197,1036,1
1040,SFX - Bestiary - Midnight - 12.0 - Rare Creatures - Z4 - Simple 07 - Lotus Darkblossom - Voidveil (Beginning Cosmetic),Voidveil (Beginning Cosmetic),197,1036,1
1041,SFX - Bestiary - Midnight - 12.0 - Rare Creatures - Z4 - Simple 07 - Lotus Darkblossom - Tentacle Loop,Tentacle Loop,197,1036,0.7943282
1042,SFX - Bestiary - Midnight - 12.0 - Pet,Pet,197,630,1
1043,SFX - Bestiary - Midnight - 12.0 - Pet - N'Zoth Fish,N'Zoth Fish,197,1042,1
1044,SFX - Bestiary - Midnight - 12.0 - Pet - N'Zoth Fish - Clickies,Clickies,197,1043,1
1045,SFX - Bestiary - Midnight - 12.0 - Pet - N'Zoth Fish - Summon,Summon,197,1043,1
1046,SFX - Bestiary - Midnight - 12.0 - Pet - N'Zoth Fish - OEP,OEP,197,1043,1
1047,SFX - Bestiary - Midnight - 12.0 - Pet - N'Zoth Fish - Creature Sounds,Creature Sounds,197,1043,0.56234133
